#/与〃表示同上
#-表示合音
#----------一、天文　地理
掼	kuaŋ23	拎、提（篮子）
□	t'i42	撕
□	tɔuŋ332	碰
羁	ki332	束（带子）
𢶀	ts'uoi35	寻找
□	lœk5	丢掉
徛	k'e23	站着
踞肚	ko44 lou23	蹲
籍	tse23	背
走	tsou42	跑、逃
行	kiaŋ22	走
逐	tøk2	追
□	ou35	躲
囥	k'ɔuŋ35	藏
沃	uk5	淋（雨）
擘	pak5	掰开
讲客遛	kuŋ44 t'a55 lieu22	闲谈
洗汤	sɛ55 lɔuŋ332	洗澡
□遛	t'a44 liu22	玩儿
□	lœk5	捞（沙子）
醒	ts'aŋ42	睡醒
防	hɔuŋ22	提防
□传	pok55 lioŋ22	知道、认得
无样侬	mɔ22 jioŋ55 nœŋ22	惭愧
恻	ts'ɛik5	生气
想	sioŋ42	羡慕
扇粟	siŋ55 ts'uk5	风车扬秕谷
落料	lok44 lɛu23	施肥
绞米	ka35 mi42	碾米
赖孵	lai44 pou23	抱窝
生卵	saŋ44 lɔuŋ23	生蛋
⿱冖敢	kaŋ42	盖（被子）
踅	suk2	绕（圈子）
/环	k'uaŋ22	〃
□	mei23	潜水
漉	lɔk2	涉水
隔灭	kak55 mik2	吵架
趁钱	t'iŋ55 tsiŋ22	挣钱
惊	kiaŋ332	害怕
插	ts'ak5	理睬
畏意	uoi55 ei35	害羞
忖	ts'ɔuŋ22	想念
恻心热	ts'ɛik5 liŋ332 mik2	嫉妒
填	tɛiŋ22	猜
作田	tsɔk55 ts'ɛiŋ22	种地
耖田	sœ55 ʒɛiŋ22	耘田
播田	pu55 ʒɛiŋ22	插秧
⿱汤皿船	t'ɔuŋ55 noŋ22	撑船
□猪屎	k'ak5 ti55 sai42	拾粪
#----------十三、性质　状态
悬	kɛiŋ22	高
矮	ɛ42	（山）低
嫩	nɔuŋ23	小（大反）
価	sɛ23	多
燋（凋）	ta332	乾
滥（澜）	laŋ23	湿
𬇴	køk2	稠
清	tseiŋ332	（粥）稀
□	p'ɔuŋ35	凸
□	neik5	凹
清气	ts'iŋ55 ŋei35	干净
流痢	lau22 lɛ23	肮脏
/肮脏	aŋ44 naŋ332	〃
肥	pøi22	（人）胖
衰	sɔi332	（人）瘦
晏	aŋ35	晚（早反）
定	tiaŋ23	懒惰
闹热	nau44 ik2	热闹
幼	eu35	细（粗反）
嫩	nɔuŋ23	（菜）嫩
□	kɔ332	（菜）老
𬲕	tsiaŋ42	味淡
阔	k'uak5	宽
橂（𠕆）	tɛiŋ23	（木、石）硬紧
冇	p'aŋ35	（木、石）松
宿	søk5	（瓜、果）成熟
利	lei23	（刀）快
饥	køi332	饿
□（孬）	mai35	坏、难（做事）
狭	ɛik2	窄
□	k'iak5	挤
㾪	seiŋ42	（猪肉）瘦
/赤	ts'eik5	〃
稠	sɛu22	均匀
狠辣	hɔŋ35 lak2	勤劳
㖪（惑）	høk2	疲劳
绰	ts'iok5	美
泣亏	k'ik55 k'øi332	难受
睏	ŋɔuŋ35	睡
衰	sɔi35	倒霉
□	ɔk5	（小孩）乖
本事	puŋ55 nou23	能干
光	kuŋ332	（天色）亮
忝（疼）	t'iaŋ35	痛
好惜	hɔ55 sik5	可爱
窕	tieu42	健康
/壮	tsɔuŋ35	〃
#----------十四、指代　数量
我	ŋo42	我
你	ni42	你
伊	ei332	他、她
我侪	ŋo42 ɛ22	我们
你侪	ni42 ɛ22	你们
伊侪	ei332 ɛ22	他们
齐侪	tsɛ22 tsɛ22	大家
/齐侬	tsɛ2 nœŋ22	〃
若□	nik44 ɔ23	多少
询□	suŋ55 ŋɛ23	怎样
这-隻-	tseik5	这个、这些
许-隻-	heik5	那个、那些
底只	ti35 eik5	哪个
这位	tsɛ55 wøi23	这里
许位	he55 wøi23	那里
乜乇	mik44 nɔk5	什么
蜀床	sik44 ts'ɔuŋ22	一条（被）
蜀头	sik44 t'au22	一只（鸡）
蜀点囝	siŋ55 ŋiaŋ42	一点儿
蜀隻	sik44 tseik5	一个（人）
两两	laŋ44 lioŋ42	二两（油）
三兜（株）	saŋ44 nau332	三棵
头名	t'au22 miaŋ22	第一名
六头	lœk44 lau22	六条（鱼）
八头	peik55 lau22	八口（猪）
十粒	seik44 lak2	十个（蛋）
百二条	pak55 nei35 tɛu22	一百廿条
百七五	pak55 ts'ik55 ŋou23	一百七十五
千五块	ts'ɛiŋ332 ŋou35 lɔi35	一千五百元
