Document ID	Conversation ID	Provider	Mindong	Mandarin Trans.	Speaker ID	ISO 639-6	Year	YYYY-MM-DD	HH:MM:SS (UTC+8)	Source & Copyright	Copyright	Tag	Note	Property
69		关彳山				mqig				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
70		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
71		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義	不及「霸霸」粗鄙	
72		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
73		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
74		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
75		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
76		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
77		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
78		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
